id,title,normalized_title,author,date,iso_date,file,depth,is_reply,parent_id,thread_root_id,models,topics,error_signatures,body
1,Author DELETE,Author DELETE,*****,2002/06/03-10:24,2002-06-03T10:24:00,Msgs_1_to_726.html,0,false,60,663,,,,"(The
article that 2002/06/03-10:24 posted, was modified by Author)"
2,This is really the first post,This is really the first post,AiboPet,2002/06/03-10:25,2002-06-03T10:25:00,Msgs_1_to_726.html,0,false,,2,,,,"| This is really the first post.
| [this BBS system will take a little getting used to]
|
| Welcome to the Open-R SDK BBS
|
| Please post your comments about the SDK
|"
3,RE:This is really the first post,This is really the first post,aruth51485,2002/06/03-10:39,2002-06-03T10:39:00,Msgs_1_to_726.html,1,true,2,2,,,,"| Time
to jump into the pool and get wet :)
|
| >This is really the first post.
| >[this
BBS system will take a little getting used to]
| >
| >Welcome to the Open-R SDK BBS
| >
| >Please
post your comments about the SDK
|"
4,RE:This is really the first post,This is really the first post,PerfectDark,2002/06/03-10:42,2002-06-03T10:42:00,Msgs_1_to_726.html,1,true,2,2,,,,"| >This is really the first post.
| >[this
BBS system will take a little getting used to]
| >
| >Welcome to the Open-R SDK BBS
| >
| >Please
post your comments about the SDK
|
| Hi AiboPet,
|
| Well
my download has just finished, and my laser printer is busy printing
all the docs out
| (i'm
impressed that there is so much of it plus lots of samples) but I
really must sleep now
| (its
2:38 am here in the UK) But I'm sooo glad I've got next week off work
(woohoo).
| From
what I've seen so far looks like I've got a lot of reading &
experimenting to do, its quite
| a
different programming model to what I'm used to.
|
| bye for now.
|"
5,RE:This is really the first post,This is really the first post,joenrusty,2002/06/03-11:50,2002-06-03T11:50:00,Msgs_1_to_726.html,1,true,2,2,,build_toolchain|motion,,"| | >This is really the first post.
| |
| | Thanks
for the head's up, AiboPet. I've downloaded the bits and pieces
| | and
now I'll just have to make time to read it all. Looks facinating, if
| | somewhat
low-level. Shinobi has a worried expression on his little plastic
| | face.
Probably nervous about getting his flash updated...
| |"
6,RE:This is really the first post,This is really the first post,AIBO-Life,2002/06/03-12:04,2002-06-03T12:04:00,Msgs_1_to_726.html,2,true,5,2,,,,"| I'm
right on your tail Joe ... just checking what you guys are up to.
|
| Richard/AIBO-Life
|"
7,RE:This is really the first post,This is really the first post,hongkong97,2002/06/03-12:28,2002-06-03T12:28:00,Msgs_1_to_726.html,1,true,2,2,,build_toolchain,,"| >This is really the first post.
| >[this
BBS system will take a little getting used to]
| >
| >Welcome to the Open-R SDK BBS
| >
| >Please
post your comments about the SDK
|
| Well...as
a contributor to an arcade machine emulation program, I now have some
more C++ to play with. Still downloading all the stuff.
| Looks
like the docs are gonna take forever to print.. Then I can get to
setting up the environment. Says it'll work in XP....
| we'll
have to see about that, for I've had some problems with DOS modes (or
the emulation of them) in XP. Then I get to look at and take apart
| the sample proggies.
|
| my
poor little Crusoe has a very worried look on his little 220 face.
Gao-Gwei is showing green horn aplenty, since she is pretty much immune
| to
any hacking to be done. I will probly never attempt to do anything to
my little Latte. The lack of a LAN card will deffinately make
| debugging hard.
|"
8,Welcome!,Welcome!,openrsupport@(Administrator),2002/06/03-13:29,2002-06-03T13:29:00,Msgs_1_to_726.html,0,false,,8,,,,"Hello!
Welcome
to the OPEN-R SDK. Since you're reading this, you
are
undoubtedly one of our English speaking audience members.
Welcome
aboard! We hope you find that the SDK will unleash your
creativity and give your AIBO a new dimension.
First, a couple of ground rules --
* Please keep in mind that support is done solely via
this
website. Please don't call your local AIBO sales and
marketing
division's support lines for support with this SDK.
Instead,
please post a question here and we will answer it
as soon as possible.
*
Having said that, we also want to encourage peer-to-peer
support
as much as possible. We want this BBS to be used for more
than
a Q&A session. Please feel free to discuss topics with others.
(Of
course, please abide by the ""BBS RULES"" when doing so.)
We'll jump in only when needed.
*
This website is a global one. Please refrain from discussing
locale-specific
topics (e.g. when will ""X"" be available in ""Y""
country,
etc.). You can refer to your local AIBO division for
answers to these questions. ( refer to http://www.aibo.com )
Other than that, we hope you enjoy the site and enjoy
corresponding with your fellow developers!
Best regards,
OPEN-R SDK support"
9,Java anyone?,Java anyone?,deckerj,2002/06/03-14:07,2002-06-03T14:07:00,Msgs_1_to_726.html,0,false,,9,,,,"| I
know this might be a little ""sacreligious"" and maybe even premature,
but does anyone know of ANY java projects related to our little friends
(anything from API to a telepresence/tele-operated java program/client
:) Otherwise I know where I'll be spending my time :)
|
| Cheers
|"
10,RE:This is really the first post,This is really the first post,dcreehan,2002/06/03-15:14,2002-06-03T15:14:00,Msgs_1_to_726.html,1,true,2,2,,,,"| Wait
for me! I downloaded some stuff through my tiny pipe.
| I'll
get more later. It's 2:11AM and time for sleep.
|
| This
is great, so much new stuff that I will not have time to do.
|
| Let the games begin.
|
| Dean, DaVinci, and Leo
|"
